Skin	Heart	Brain	Muscle	Spleen	Adipose	Thyroid	Colon	Lung	Liver	Pituitary	Adrenal
RGS7	0	0	0	0	0	0	0	0	0	0	0	-1
IL1RL1	-1	0	0	0	0	0	0	0	0	0	0	0
TPP2	0	0	0	1	0	0	0	0	0	0	0	0
RYR2	0	0	0	0	0	0	0	0	0	0	-1	0
ZMYM2	0	0	0	0	0	0	0	1	0	1	0	0
FAM98A	0	0	0	0	0	0	0	0	0	0	-1	0
DAB2IP	0	0	0	-1	0	0	0	0	0	0	0	0
RBM14	0	0	0	0	0	0	-1	0	0	0	0	0
ALDH1A3	0	0	0	0	0	0	0	-1	0	0	0	0
PLCD4	0	0	0	0	0	1	0	0	0	0	0	0
TMED5	0	0	0	0	0	-1	0	0	0	0	0	0
OAF	0	0	0	0	1	0	0	0	0	0	1	0
EDC3	0	0	0	0	0	0	0	0	0	0	-1	0
CEPT1	0	0	0	0	0	0	0	0	0	0	-1	0
ACTR2	0	0	0	0	0	0	0	0	0	0	0	-1
ANP32E	0	0	-1	0	0	0	0	0	0	0	0	-1
TYROBP	-1	0	0	0	0	0	-1	0	0	0	1	0
LETMD1	0	0	0	0	0	0	0	0	0	0	-1	0
CADM3	-1	0	0	0	0	0	0	0	0	0	0	0
MUT	0	0	-1	0	0	0	0	0	0	0	0	0
TSHZ1	0	0	0	0	0	0	0	0	0	0	0	1
FJX1	0	0	0	0	0	-1	0	0	0	0	1	0
ERP44	0	0	0	0	0	-1	0	0	0	0	0	0
HNRNPA2B1	0	0	0	0	0	-1	0	0	0	0	0	0
KIF13A	0	0	0	1	0	0	0	0	0	0	0	1
CCDC51	0	0	0	0	0	-1	0	0	0	0	0	0
PMP22	0	0	0	0	0	0	0	0	0	0	1	0
BAHD1	0	0	0	-1	0	0	0	0	0	0	0	0
CYBA	0	0	0	0	0	0	0	0	0	0	1	0
BAG2	0	0	0	0	0	0	0	0	0	0	0	-1
TNFRSF13B	0	0	0	0	0	0	0	1	0	0	0	0
REEP1	0	0	0	0	0	0	0	0	0	0	0	-1
SSPN	0	0	0	0	0	1	1	0	0	0	0	0
MICAL2	0	0	0	-1	0	0	0	0	0	0	0	-1
GPR155	0	0	0	1	0	0	0	0	0	0	0	0
ZNF329	0	0	0	0	0	0	0	0	0	0	-1	0
STK4	0	0	0	0	0	1	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	1	0
TMEM170B	0	0	0	0	0	0	0	0	0	0	-1	0
CCKBR	0	0	1	0	0	0	0	0	0	0	0	0
NOTCH1	0	0	0	0	0	0	0	0	0	0	1	0
LRRK1	0	0	0	-1	0	0	0	0	0	0	0	0
LENG1	0	0	0	0	0	0	0	0	0	-1	0	0
CBX4	0	0	0	-1	0	0	0	0	0	0	0	0
CARD9	0	0	0	0	1	0	0	0	0	0	0	0
NACC2	0	0	0	0	1	0	0	0	0	0	1	1
MED16	0	0	0	0	1	0	0	0	0	0	0	0
SRSF2	0	0	0	0	0	-1	0	0	0	0	0	0
MCAM	0	0	0	0	0	0	0	0	0	0	1	0
HAGH	0	0	0	0	1	0	0	0	0	0	0	0
RSPO4	-1	0	0	0	0	0	0	0	0	0	0	0
CCDC153	0	0	0	0	0	0	0	0	0	0	1	0
SRP72	0	0	0	0	0	-1	0	0	0	0	0	0
ADCY7	0	0	0	0	0	0	0	0	0	0	1	0
TMEM121	0	0	1	0	0	0	0	0	0	0	0	0
C1QL1	0	0	1	0	0	0	0	0	0	0	0	0
PPP1R1B	0	0	0	0	0	0	0	0	0	0	1	0
ACKR4	0	0	0	0	0	1	0	0	0	0	0	0
ATP11C	0	0	0	0	0	0	0	0	0	1	0	0
ITIH5	0	0	0	0	0	0	0	0	0	0	1	1
LRRC71	0	0	0	0	0	0	0	0	0	0	1	0
ITGA6	0	0	0	0	0	0	0	0	0	1	0	0
HID1	0	0	1	0	0	0	0	0	0	0	0	0
ASTN2	0	0	0	0	0	0	0	0	0	0	1	-1
LYPD6	0	0	0	0	0	0	0	0	0	0	0	-1
CSRNP3	0	0	0	0	0	0	0	0	0	0	-1	0
ISLR	0	0	0	0	0	0	0	0	0	0	1	0
SAP25	0	0	0	0	0	1	0	0	0	0	0	0
RNF219	0	0	0	0	0	0	0	0	0	0	-1	0
DDIAS	1	0	0	0	0	0	0	0	0	0	0	0
BCL6	0	0	-1	0	0	0	0	0	0	0	0	0
STK38	0	1	0	0	0	0	0	0	0	0	0	0
TIAL1	0	0	0	0	0	0	0	0	0	0	-1	0
DHX15	0	0	0	0	0	0	0	0	0	0	-1	0
LHPP	0	0	1	0	0	0	0	0	0	0	0	0
ZNF706	0	0	0	0	-1	0	0	0	0	0	0	0
SYNJ2BP	0	0	0	0	0	0	0	0	0	0	-1	0
FAM181B	0	0	0	0	0	0	0	0	0	0	1	0
CSGALNACT1	0	0	0	0	0	1	0	0	0	0	0	0
TMEM204	-1	0	0	0	0	0	-1	0	0	0	0	0
SNX25	0	0	0	0	-1	0	0	0	0	0	0	0
EMILIN1	0	0	0	0	1	0	0	0	0	0	0	0
YTHDF3	0	0	0	0	0	-1	0	0	0	0	0	-1
CISH	0	0	0	0	1	0	0	0	0	0	0	0
HSF4	0	0	0	0	1	0	0	0	0	0	0	0
FAM174A	0	0	0	0	0	0	1	0	0	0	0	0
MPP5	0	0	0	0	0	0	1	0	0	0	0	0
TMA7	0	0	0	0	0	0	0	0	0	0	0	-1
ZNF629	0	0	0	0	0	-1	0	0	0	0	0	0
TUBB2A	0	0	0	0	0	-1	0	0	0	0	0	0
METTL21C	0	0	0	1	0	0	0	0	0	0	0	0
GRHPR	0	0	0	0	0	0	0	0	0	1	0	0
CEBPB	0	0	0	-1	0	-1	0	0	0	0	0	0
SHKBP1	0	0	0	0	0	0	0	0	0	0	0	1
C9orf135	0	0	0	0	0	0	0	0	0	0	-1	0
UTP15	0	0	0	0	0	-1	0	0	0	0	0	0
NSF	0	0	0	0	0	0	0	0	0	0	-1	0
ASB6	0	0	0	-1	1	0	0	0	0	0	0	0
FAM46A	0	0	0	0	0	0	0	0	0	0	-1	0
RTN4IP1	1	0	0	0	0	-1	0	0	0	0	0	0
TRMT10A	0	0	0	0	0	0	0	0	0	0	0	-1
DACT1	0	0	0	0	0	0	0	0	0	0	0	1
AFF4	0	0	0	0	0	0	0	1	0	0	0	0
CTDSP1	0	0	0	0	1	0	0	0	0	0	0	0
PGAP3	0	0	0	1	0	0	0	0	0	0	0	0
TEAD2	0	0	0	0	0	0	0	0	0	0	1	1
PLBD2	0	0	0	1	0	0	0	0	0	0	0	0
TPCN2	0	0	0	0	0	0	0	0	0	0	1	0
SPHK1	0	0	0	0	1	0	0	0	0	0	0	0
SPOP	0	0	0	0	0	1	0	0	0	0	0	0
AGPAT4	0	0	0	0	0	0	0	0	0	0	-1	0
VOPP1	0	0	0	1	0	0	0	0	0	0	0	0
C2CD2L	0	0	0	0	1	0	0	0	0	0	0	0
TUBB4B	0	0	0	0	1	0	0	0	0	0	0	0
GDPD5	0	0	0	0	0	0	0	0	0	0	1	0
NRGN	0	0	0	0	0	0	0	0	0	0	0	-1
TLCD1	0	0	0	0	0	0	0	0	-1	0	0	0
RAB33B	0	0	0	0	0	0	0	0	0	0	-1	0
SYNPO	0	0	0	1	0	0	0	0	0	0	1	0
SEC61G	0	0	0	1	0	0	0	0	0	0	0	-1
ADAMTSL2	0	0	0	0	0	0	0	-1	0	0	0	0
CYP4X1	0	0	0	0	0	0	0	0	0	0	1	0
SMC1A	0	0	0	-1	-1	0	0	0	0	0	0	-1
BRI3	0	0	1	0	0	0	0	0	0	0	0	0
NDST1	0	0	0	0	0	0	0	0	0	0	1	0
CD300LB	0	0	0	0	0	0	0	0	-1	0	0	0
SRRM2	0	0	0	0	0	0	0	0	0	0	-1	0
BHLHE40	1	0	0	0	0	0	0	0	0	0	1	0
AKNA	-1	0	0	0	0	0	0	0	0	0	1	0
RBM22	0	0	0	0	0	0	0	0	0	0	-1	1
TET2	0	0	0	1	0	0	0	0	0	0	-1	0
RPGR	0	-1	0	0	0	0	0	0	0	0	0	0
N4BP2	0	0	0	0	0	0	0	0	0	0	-1	0
LPL	-1	-1	-1	0	0	0	0	0	0	0	0	0
INSC	0	0	0	0	0	0	0	-1	0	0	0	0
NPC2	0	0	0	0	0	0	0	0	0	-1	1	0
GDF11	0	0	0	0	0	0	0	0	1	0	0	0
MGAT1	0	0	0	-1	0	0	0	0	0	0	0	0
ZC3H10	0	0	0	-1	0	0	0	0	0	0	-1	0
RBM17	0	0	0	0	-1	0	0	0	0	0	0	0
RHPN1	0	0	0	0	1	0	0	0	0	0	0	0
HIBCH	1	0	0	0	0	0	0	0	0	0	0	0
LRBA	1	0	0	0	-1	0	1	0	0	0	0	0
CAPRIN1	0	0	0	0	0	0	0	0	0	0	-1	0
ZNF618	0	0	0	0	0	0	0	1	0	0	0	0
ARNTL2	0	0	0	0	0	0	0	1	0	0	0	0
NMNAT1	0	0	0	1	0	0	0	0	0	0	0	0
FASTKD2	0	0	0	0	0	-1	0	0	0	0	0	0
PSAT1	1	0	0	0	0	0	0	0	0	0	0	0
DBI	0	0	0	0	0	0	0	0	0	0	1	0
ARGLU1	0	0	0	0	-1	0	0	0	0	0	0	0
AQP4	0	0	-1	0	0	0	0	0	0	0	0	0
TSPYL2	0	0	0	0	-1	0	0	0	0	0	0	0
MTRF1	0	0	0	0	-1	0	0	0	0	0	-1	0
GRWD1	0	0	0	0	0	-1	0	0	0	0	0	0
POU6F1	0	0	0	1	0	0	0	0	0	0	0	0
MRM1	0	0	0	0	0	-1	0	0	0	-1	0	0
CLTA	0	-1	0	0	0	0	0	0	0	0	0	0
CEP85	0	1	0	1	0	0	0	0	0	0	0	0
OSBPL5	0	0	0	0	0	0	0	0	0	0	1	0
DHX36	0	0	0	0	-1	0	0	0	0	0	0	0
IDE	0	0	0	0	0	0	0	0	-1	0	-1	0
WWTR1	0	0	0	0	0	0	0	0	1	1	1	0
FAM102B	0	0	0	0	0	0	1	0	0	0	0	0
SLC41A3	0	0	0	0	0	0	1	0	0	1	1	0
EPHA1	0	0	0	0	0	0	0	0	0	0	1	0
ALKBH5	0	0	0	1	0	0	0	0	0	0	0	0
CYP26B1	-1	0	0	0	0	0	-1	0	0	0	0	0
TTC19	1	0	0	0	0	0	0	0	0	0	0	0
CROCC	0	0	0	0	0	0	0	0	0	0	0	1
MALSU1	0	0	0	1	0	-1	0	0	0	0	0	0
MTIF3	0	0	0	1	0	0	0	0	0	0	0	0
FNDC4	0	0	0	0	0	0	0	-1	0	0	0	0
ATP5S	0	0	0	0	0	-1	0	0	0	0	0	0
RASGRP4	-1	0	0	0	0	0	0	0	0	0	0	0
FMOD	-1	0	1	0	0	0	0	0	0	0	0	0
TIMM10	0	0	0	0	0	-1	0	0	0	0	0	0
PAPOLA	0	0	0	0	0	0	0	0	0	0	0	-1
RASGRF2	0	0	0	0	0	1	0	0	0	0	0	0
CSNK1G3	0	0	0	0	0	0	0	0	0	0	-1	0
SVIP	0	0	0	0	0	0	1	0	0	0	0	0
LMNA	0	0	0	0	1	0	0	0	0	0	0	0
RAB2A	0	0	0	0	0	0	0	0	0	0	0	-1
CAMK4	0	0	0	0	0	0	0	0	0	0	-1	0
ASAP3	0	1	0	-1	0	0	0	0	0	0	0	1
STIL	1	0	0	0	0	0	0	0	0	0	0	0
OLFM1	-1	0	0	0	0	0	0	0	0	0	0	0
KRT17	0	0	0	0	0	0	0	0	0	0	1	0
PHYHD1	0	0	0	0	0	0	0	0	-1	0	1	1
LRMP	0	0	0	0	0	0	-1	0	0	0	0	0
YY1	0	0	0	0	0	0	1	0	0	0	0	0
SOX13	-1	0	0	0	0	0	0	0	0	0	1	0
ASPSCR1	0	0	0	0	1	0	0	0	0	0	0	0
FNBP1	0	0	0	0	0	0	0	0	0	0	1	0
IRF2BPL	0	0	0	0	0	0	0	0	0	0	0	1
CHD3	0	0	1	0	0	0	0	0	0	0	0	0
LDB1	0	0	0	0	0	1	0	0	0	0	0	1
CHD7	0	0	0	0	-1	0	0	0	0	0	0	0
TAL1	-1	0	0	0	0	0	0	0	0	0	0	0
CKAP2	1	0	0	0	0	0	0	0	0	0	0	0
C19orf24	0	0	0	0	0	-1	0	0	0	0	0	0
SLA2	0	0	0	0	0	0	0	1	0	0	0	0
TNNI1	0	0	0	0	0	0	1	0	0	0	0	0
TGFB1I1	-1	0	0	0	0	0	0	0	0	0	1	0
RASEF	0	0	0	0	0	0	1	0	0	0	0	0
VPS36	0	0	0	0	-1	0	0	0	0	0	0	0
AKT1S1	0	0	0	0	0	0	0	0	-1	0	0	0
TMEM203	0	0	0	0	0	0	0	0	0	0	1	0
CA8	0	0	0	0	0	0	0	-1	0	0	0	0
PPP1R21	0	0	0	0	0	1	0	0	0	0	0	0
NABP1	0	0	0	-1	0	0	0	0	0	0	0	0
TSPAN1	0	0	0	0	0	0	0	0	0	0	1	0
LAT2	-1	0	0	0	0	0	0	0	0	0	0	0
TBC1D17	0	1	0	0	0	0	-1	0	0	0	0	1
ATF5	0	0	0	0	0	0	0	0	0	0	0	-1
COX6A2	0	0	0	1	0	0	0	0	0	0	0	0
CORO6	0	0	0	0	0	0	0	-1	0	0	0	0
COPB1	0	0	0	0	0	0	0	0	0	0	-1	0
USP8	0	0	0	0	-1	0	0	0	0	0	0	0
GALNT3	0	0	0	0	0	0	0	0	0	0	-1	0
TWF2	0	1	0	0	0	0	0	0	0	0	0	0
FUZ	0	0	0	0	0	0	0	0	0	0	0	1
TAOK1	0	0	0	0	0	0	0	0	1	0	0	0
CDNF	0	0	0	0	0	0	1	0	0	0	0	0
SOX12	0	0	1	0	0	0	0	0	0	0	0	1
IGFBP6	0	0	0	0	0	0	0	0	0	0	1	0
COA6	0	0	0	0	0	-1	0	0	0	0	0	0
DNM1	0	0	1	0	0	0	0	0	0	0	0	0
PARP3	0	0	0	0	0	0	0	0	0	0	1	1
ARMCX5	0	0	0	0	-1	0	0	0	0	1	0	0
HSD17B14	0	0	0	0	0	0	0	0	0	0	1	0
DMWD	0	0	1	0	1	0	0	0	0	0	0	0
VAV2	0	0	0	0	0	0	1	0	0	0	0	0
RXRA	0	0	0	0	0	0	0	0	0	0	1	0
ALDH1A2	0	0	0	0	0	1	0	0	0	0	0	0
ULK2	0	0	0	0	0	1	0	0	0	0	0	0
SPI1	0	0	0	0	0	0	-1	0	0	0	0	0
UBA7	0	1	0	0	0	0	0	0	0	0	1	0
PCGF2	0	0	0	0	0	0	0	0	0	0	0	1
ELF1	0	0	0	0	-1	0	0	0	0	0	0	0
COPS3	0	0	0	0	0	-1	0	0	0	0	0	-1
LRFN3	0	0	1	0	0	0	0	0	0	0	0	0
MRPL2	0	0	0	0	0	-1	0	0	0	0	0	0
EIF2D	0	0	0	0	0	1	1	0	0	0	0	0
CTF1	0	0	0	0	0	0	1	0	0	0	0	0
PNKD	0	0	0	1	1	0	0	0	0	0	0	0
HOMER2	0	0	0	1	0	0	0	0	0	0	1	0
ENPP3	0	0	0	0	0	0	0	0	-1	0	0	0
BRAF	0	0	0	0	0	0	0	0	1	0	-1	0
SLC6A9	0	0	0	0	1	0	0	0	0	0	0	0
NDUFA8	0	0	0	0	0	-1	0	0	0	0	0	0
QSOX1	0	0	0	-1	0	0	0	0	0	0	0	0
ZRANB3	0	0	0	1	0	0	0	0	0	0	0	0
TBX2	0	0	0	0	0	0	0	0	0	0	1	0
TIAM2	0	0	0	0	0	0	0	0	0	0	0	-1
SSSCA1	0	0	0	0	0	-1	0	0	0	0	0	0
ITGA11	0	0	0	0	1	0	0	0	0	0	1	0
LRP11	0	0	0	0	0	0	0	-1	0	0	0	0
NFIB	0	0	0	0	0	0	0	0	1	0	1	0
WDR83	0	0	0	0	0	0	0	0	0	-1	0	0
SIK2	0	0	0	-1	0	0	0	1	0	0	0	0
PPAT	0	0	0	0	0	0	0	0	0	0	-1	0
LARS2	0	0	0	0	0	0	1	0	0	0	0	0
ACTR1B	0	0	0	1	0	0	0	0	0	0	0	0
PGF	0	0	0	0	0	0	1	0	0	0	0	0
TPK1	0	0	0	0	0	0	0	0	0	1	0	0
ERCC6	1	0	0	0	0	0	0	0	0	0	0	0
PLCD1	0	0	0	0	0	0	0	0	0	0	0	1
CIZ1	0	0	0	0	0	0	0	0	0	0	0	1
COX4I2	0	0	0	0	0	0	0	0	0	0	1	0
BCKDK	0	0	0	0	0	0	0	0	0	0	0	1
ACSBG1	0	0	0	0	0	0	0	0	0	0	1	0
WDR5	0	0	0	0	0	-1	0	0	0	0	0	0
STRA6	1	0	0	0	0	0	0	0	0	0	1	0
PIK3CB	1	0	0	0	0	0	0	0	0	0	0	0
IRGQ	0	0	0	0	0	0	0	0	0	0	-1	0
MLF1	0	0	0	0	0	0	1	0	0	0	0	0
DMPK	0	0	0	0	0	0	0	0	0	-1	0	0
SUSD3	0	0	0	0	0	0	0	0	0	0	1	0
RARA	0	0	0	0	0	0	0	0	0	0	1	1
FGF13	0	0	0	0	0	-1	0	0	0	0	0	0
ALKBH8	0	0	0	1	0	0	0	0	0	0	0	0
ACP5	0	0	0	0	0	0	-1	0	0	0	0	0
DBP	0	1	0	0	0	0	1	0	0	0	0	0
CDR2	0	0	0	0	0	1	0	0	1	0	0	0
SORBS3	0	0	0	0	0	0	0	0	0	0	1	0
ESCO1	1	0	0	0	0	0	0	0	0	0	0	0
TAF4B	0	0	-1	0	0	0	0	0	0	0	0	0
SYNM	0	0	0	1	0	0	0	0	0	0	1	0
DUSP23	0	0	0	0	0	0	0	0	0	0	0	1
UTP20	0	0	0	0	0	-1	0	0	0	0	0	0
PDGFD	0	0	0	0	0	0	0	0	0	0	1	0
TMEM120B	0	0	0	0	0	0	0	0	0	0	0	-1
TBKBP1	-1	0	0	0	0	0	0	0	0	0	0	0
CPOX	0	0	0	0	0	0	0	0	0	0	-1	0
R3HDM1	0	0	0	0	0	0	0	0	0	0	-1	0
GGH	1	0	-1	0	0	0	0	0	0	0	0	0
MORN3	1	0	0	0	0	0	0	0	0	0	0	0
SSR1	0	0	0	0	0	-1	0	0	0	0	0	0
GCGR	0	0	0	0	0	0	0	0	0	0	0	-1
CCDC137	0	0	0	-1	0	0	0	0	0	0	0	1
FUK	0	0	0	0	1	0	0	0	0	0	0	1
IGSF23	0	0	0	0	0	0	0	0	-1	0	0	0
C1QTNF5	0	0	0	0	1	0	0	0	0	0	1	1
CCND1	0	0	0	0	0	0	1	0	0	0	0	0
NAA38	0	0	0	0	0	-1	0	0	0	0	0	0
NKD1	0	0	0	0	0	0	0	0	0	0	1	0
COL12A1	-1	0	0	0	0	0	0	0	0	0	0	0
TMEM126B	0	0	0	1	0	0	0	0	0	0	0	0
SRXN1	0	0	0	-1	0	0	0	0	0	0	0	0
CLMN	0	0	0	0	0	0	0	0	0	1	0	0
LAYN	0	0	0	0	0	1	0	0	0	0	0	0
DOLPP1	0	0	0	0	0	0	0	0	-1	0	0	0
SRPK3	0	0	0	1	0	0	0	0	0	0	0	0
COLCA2	0	0	0	0	0	1	0	0	0	0	1	0
TWISTNB	0	0	0	0	0	-1	0	0	0	0	0	0
ZBTB47	0	0	0	0	1	0	1	0	0	0	0	1
BTBD1	0	0	0	1	0	0	0	0	0	0	0	0
PHIP	0	0	0	0	-1	0	0	0	0	0	-1	0
HEBP2	0	0	0	0	0	0	0	0	0	0	1	0
SH3PXD2A	1	0	0	0	0	0	0	0	0	0	0	0
FRMD4A	0	0	0	0	1	-1	0	0	0	0	0	0
KLHL25	0	0	0	0	0	0	0	0	0	0	0	1
BSPRY	0	0	0	0	0	0	0	0	0	0	0	1
CD2	0	0	0	0	0	1	-1	0	0	0	0	0
H6PD	0	0	0	0	0	0	0	0	0	0	0	1
SLC31A1	0	0	0	0	0	0	0	0	0	0	0	-1
FXYD1	-1	0	0	0	0	0	0	0	0	0	0	0
FANCG	0	0	0	0	0	0	0	0	0	0	-1	0
VIPR1	0	0	0	0	0	1	0	0	0	0	0	0
ST3GAL4	0	0	0	0	1	0	0	0	0	0	-1	0
RFX8	0	0	0	0	0	1	0	0	0	0	0	0
TCF19	0	0	0	0	0	0	-1	0	0	0	0	0
INPP5A	-1	0	0	0	0	0	0	0	0	0	0	0
NEK7	0	0	0	0	-1	1	0	0	0	0	0	0
MFSD12	0	0	0	-1	1	0	0	0	0	-1	0	0
CCDC38	0	0	0	0	0	0	0	0	0	1	0	0
KIFC3	0	0	0	0	1	0	0	0	0	0	0	0
CACNB3	0	0	0	0	0	0	0	0	0	0	1	0
IGFLR1	-1	0	0	0	0	0	0	0	0	0	0	0
ITGB6	0	0	0	1	0	0	0	0	0	0	0	0
ITGA5	-1	0	0	0	1	0	0	0	0	0	0	0
TOP1	0	0	0	0	0	-1	0	0	0	0	0	0
SEC23B	0	0	0	-1	0	0	0	0	0	0	0	0
NPAS2	0	0	0	0	0	0	-1	0	0	0	0	0
ASAP2	0	0	0	0	0	1	0	0	0	0	0	0
RXFP1	0	0	0	0	0	0	0	0	0	0	-1	0
SEMA4B	0	0	0	0	0	-1	0	0	0	0	0	1
DSCR3	0	0	0	0	0	0	0	0	0	0	0	1
ADCY2	0	0	0	0	0	0	0	0	0	0	1	0
SLC25A29	0	0	0	0	0	1	0	0	0	0	0	0
CTSF	0	1	0	0	0	1	0	0	0	0	0	0
HBEGF	0	0	0	0	0	0	0	0	0	0	1	0
GAA	0	0	0	0	0	0	0	-1	0	0	0	0
SPECC1	0	0	0	-1	0	0	0	0	0	0	0	0
RCOR1	1	0	0	0	0	0	0	0	0	1	0	0
LRRC32	0	0	0	0	0	0	0	-1	0	0	0	0
GALNT10	0	0	0	-1	0	0	1	0	0	0	1	0
RNF214	0	0	0	0	0	0	0	0	0	0	-1	0
PALB2	0	0	0	0	0	0	0	0	0	0	0	1
IGSF8	0	0	0	0	0	0	0	0	0	0	1	0
SF3B5	0	0	0	0	0	-1	0	0	0	0	0	0
CLDN10	0	0	0	0	0	0	0	0	0	0	1	0
ZNF791	0	0	0	0	0	0	-1	0	0	0	0	0
PPP1R14A	0	0	0	0	0	0	0	0	0	0	1	0
ANGPTL2	0	0	0	-1	0	0	0	0	0	0	0	1
ATG5	0	0	0	0	0	0	0	0	0	0	0	-1
DNPH1	0	0	0	0	0	0	0	0	-1	0	0	0
C16orf91	0	0	0	0	0	-1	0	0	0	0	0	0
TRIM33	0	0	0	0	-1	0	0	0	0	0	0	0
P3H4	0	0	0	0	1	0	0	-1	0	0	0	0
XAB2	0	0	0	0	0	0	0	0	0	0	0	1
NMT1	0	0	0	0	0	0	-1	0	0	0	0	0
NOXA1	0	0	0	0	0	0	0	0	0	0	1	0
GYPC	-1	0	0	0	0	0	0	0	0	0	1	0
PENK	0	0	0	0	0	0	0	0	1	0	0	0
SLC25A25	0	0	0	0	0	-1	0	0	0	0	0	0
CHGA	0	0	0	0	0	0	0	0	0	0	1	0
LINGO1	0	1	0	0	0	0	0	0	0	0	1	0
TXLNB	0	0	0	1	0	0	0	0	0	0	0	0
KLHL5	0	0	0	0	0	1	0	0	0	1	0	0
SCFD2	0	0	0	0	0	0	1	0	0	0	0	0
GTF2A1	0	0	0	0	0	0	0	0	0	0	-1	0
CFAP97	0	0	0	0	0	0	0	0	0	0	-1	0
LTC4S	0	0	0	0	0	0	0	0	0	0	1	-1
MFSD8	0	0	0	0	-1	0	0	0	0	0	0	0
RASL12	0	0	0	0	0	1	0	0	0	0	1	0
LANCL1	0	0	0	0	0	0	0	0	0	0	-1	0
MEI4	0	0	0	0	0	0	0	0	0	0	1	0
KCNH5	0	0	-1	0	0	0	0	0	0	0	0	0
SMOC2	0	0	0	0	0	0	0	0	0	0	1	0
FXYD5	-1	0	0	0	0	0	-1	0	0	0	1	0
SLC7A6OS	0	0	0	0	0	0	0	0	0	0	-1	0
APLP2	0	0	0	0	0	0	0	0	0	0	1	0
CCDC28B	0	0	0	1	0	0	0	0	0	0	0	0
IPO8	0	0	0	-1	0	0	0	0	0	0	0	0
DZIP3	0	0	0	1	0	0	0	0	0	0	0	0
CAND1	0	0	0	0	0	0	0	0	0	0	0	-1
RNF152	0	0	0	0	0	0	0	0	0	0	1	0
GRN	0	1	0	0	0	0	0	0	0	0	0	0
SIRT7	0	0	0	0	0	0	-1	0	0	0	0	0
CCS	0	0	0	0	0	0	-1	0	0	0	0	0
POLD1	0	0	0	-1	0	0	0	0	0	0	0	1
NRG2	0	0	0	0	0	0	0	0	0	0	1	0
BCO2	0	0	0	0	0	1	0	0	0	0	0	0
IBTK	0	0	0	0	0	-1	0	0	0	0	0	0
CKMT2	0	0	0	0	0	0	0	0	0	0	0	-1
SDHAF4	0	0	0	1	0	0	0	0	0	0	0	0
PKNOX2	0	0	0	0	1	0	0	0	0	0	-1	0
ANKRD49	0	0	0	0	0	0	0	0	0	0	-1	0
TCAP	0	0	0	1	0	0	0	0	0	0	0	0
SLC17A6	0	0	0	0	0	0	0	0	0	0	-1	0
FOXN2	0	0	0	0	0	0	0	0	0	0	-1	0
SERPINH1	0	0	0	0	0	-1	0	0	0	0	0	0
NDUFC1	0	1	0	1	0	0	0	0	0	0	0	0
TMEM53	0	0	0	0	0	-1	0	0	0	0	0	0
PARP2	0	0	0	0	-1	0	0	0	0	0	0	0
BSG	0	0	0	0	1	0	0	0	0	0	0	0
TSEN2	0	0	0	0	-1	0	0	0	0	0	-1	0
RHOH	-1	0	0	0	0	0	0	1	0	0	0	0
DDX6	0	0	0	0	0	0	0	0	0	0	-1	0
KCTD18	0	1	0	0	0	0	0	0	0	0	0	0
CHRM4	0	0	1	0	0	0	0	0	0	0	0	0
KIT	-1	0	0	0	0	0	0	0	0	0	0	-1
LGMN	-1	0	0	0	0	0	0	0	0	0	0	0
SMAP2	0	0	0	0	-1	0	0	0	0	0	0	0
RBM15B	0	0	0	0	0	0	0	0	0	0	0	1
CYP2R1	0	0	0	0	0	1	0	0	0	0	0	0
FRYL	0	0	0	0	-1	0	0	0	0	0	0	0
HTATSF1	0	0	0	1	0	0	0	0	0	0	0	0
ECHDC1	0	0	0	0	0	-1	0	0	0	0	0	0
PPP1R13L	0	0	0	0	0	0	0	-1	0	0	0	1
ADGRV1	0	0	0	0	0	0	0	1	0	0	0	0
ARNTL	0	0	0	0	0	0	-1	0	0	0	0	0
PTX3	-1	0	0	0	0	0	0	0	0	0	0	0
HMGN3	0	0	0	1	-1	0	0	0	0	0	0	0
ABLIM3	-1	0	0	0	0	1	0	0	0	0	0	0
CAV2	0	0	0	0	0	0	1	0	0	0	0	0
MOB3C	0	1	0	-1	0	0	0	0	0	0	0	1
CA14	0	0	0	0	0	0	1	0	0	0	0	0
KCTD3	0	0	0	0	0	0	0	0	0	0	-1	0
GDAP2	1	0	0	0	0	0	0	0	0	0	0	0
HNRNPA0	0	0	0	0	0	0	0	0	1	0	0	0
CHRDL2	0	0	0	1	0	0	0	0	0	0	0	0
CGREF1	0	0	0	0	0	0	0	0	0	0	-1	0
STK38L	0	0	0	0	0	0	0	1	0	0	0	0
ACAP2	0	0	0	0	-1	0	0	0	0	0	0	0
ZNF319	0	0	0	0	0	0	0	0	0	0	0	1
ADRA1D	0	0	0	0	0	0	0	0	-1	0	0	0
LRP3	0	0	0	0	1	0	0	0	0	0	0	0
COBLL1	0	0	0	0	-1	1	0	0	0	0	0	0
VEPH1	0	0	0	0	0	0	1	0	0	0	0	0
FAM13B	0	0	0	0	0	0	0	1	0	0	0	0
FBXO3	0	0	0	1	0	0	0	0	0	0	0	0
ST3GAL2	0	0	0	1	1	0	0	0	0	0	0	0
ZNF180	0	0	0	0	0	0	0	0	0	0	-1	0
CLCN7	0	0	0	0	0	0	0	0	0	0	1	0
NREP	0	0	0	1	0	0	0	0	0	1	0	0
TNKS1BP1	0	0	0	0	0	0	0	0	0	0	0	1
