Row.names,Gene.human.stable.ID,Macaque.gene.stable.ID,Mouse.gene.stable.ID,Rat.gene.stable.ID,Dog.gene.stable.ID
DSEL,ENSG00000171451,ENSMFAG00000036044,ENSMUSG00000038702,ENSRNOG00000032307,ENSCAFG00000000047
DSG2,ENSG00000046604,ENSMFAG00000014923,ENSMUSG00000044393,ENSRNOG00000016526,ENSCAFG00000018051
DSG3,ENSG00000134757,ENSMFAG00000031707,ENSMUSG00000056632,ENSRNOG00000016632,ENSCAFG00000018058
DSN1,ENSG00000149636,ENSMFAG00000003771,ENSMUSG00000027635,ENSRNOG00000006236,ENSCAFG00000008618
DSP,ENSG00000096696,ENSMFAG00000031913,ENSMUSG00000054889,ENSRNOG00000013928,ENSCAFG00000009570
DST,ENSG00000151914,ENSMFAG00000041279,ENSMUSG00000026131,ENSRNOG00000012207,ENSCAFG00000002413
DSTYK,ENSG00000133059,ENSMFAG00000040203,ENSMUSG00000042046,ENSRNOG00000021298,ENSCAFG00000009999
DTD1,ENSG00000125821,ENSMFAG00000034375,ENSMUSG00000027430,ENSRNOG00000008746,ENSCAFG00000028659
DTL,ENSG00000143476,ENSMFAG00000045273,ENSMUSG00000037474,ENSRNOG00000004195,ENSCAFG00000012260
DTNA,ENSG00000134769,ENSMFAG00000031040,ENSMUSG00000024302,ENSRNOG00000016671,ENSCAFG00000017951
DTNB,ENSG00000138101,ENSMFAG00000038698,ENSMUSG00000071454,ENSRNOG00000011914,ENSCAFG00000004223
DTNBP1,ENSG00000047579,ENSMFAG00000042536,ENSMUSG00000057531,ENSRNOG00000048719,ENSCAFG00000009893
DTWD1,ENSG00000104047,ENSMFAG00000039613,ENSMUSG00000023330,ENSRNOG00000009593,ENSCAFG00000014926
DTX2,ENSG00000091073,ENSMFAG00000037159,ENSMUSG00000004947,ENSRNOG00000001432,ENSCAFG00000013614
DTX3,ENSG00000178498,ENSMFAG00000042770,ENSMUSG00000040415,ENSRNOG00000005129,ENSCAFG00000023380
DTX3L,ENSG00000163840,ENSMFAG00000031102,ENSMUSG00000049502,ENSRNOG00000023400,ENSCAFG00000011948
DTX4,ENSG00000110042,ENSMFAG00000041572,ENSMUSG00000039982,ENSRNOG00000021086,ENSCAFG00000007651
DTYMK,ENSG00000168393,ENSMFAG00000040279,ENSMUSG00000026281,ENSRNOG00000018904,ENSCAFG00000013076
DUOX1,ENSG00000137857,ENSMFAG00000043773,ENSMUSG00000033268,ENSRNOG00000033348,ENSCAFG00000013715
DUOX2,ENSG00000140279,ENSMFAG00000029863,ENSMUSG00000068452,ENSRNOG00000017395,ENSCAFG00000013693
DUOXA1,ENSG00000140254,ENSMFAG00000033232,ENSMUSG00000027224,ENSRNOG00000018005,ENSCAFG00000013707
DUOXA2,ENSG00000140274,ENSMFAG00000032593,ENSMUSG00000027225,ENSRNOG00000017805,ENSCAFG00000013701
DUS1L,ENSG00000169718,ENSMFAG00000001187,ENSMUSG00000025155,ENSRNOG00000047905,ENSCAFG00000005952
DUS2,ENSG00000167264,ENSMFAG00000046270,ENSMUSG00000031901,ENSRNOG00000019819,ENSCAFG00000020326
DUS4L,ENSG00000105865,ENSMFAG00000003759,ENSMUSG00000020648,ENSRNOG00000008155,ENSCAFG00000003919
DUSP1,ENSG00000120129,ENSMFAG00000044045,ENSMUSG00000024190,ENSRNOG00000003977,ENSCAFG00000029826
DUSP10,ENSG00000143507,ENSMFAG00000035766,ENSMUSG00000039384,ENSRNOG00000004003,ENSCAFG00000013641
DUSP12,ENSG00000081721,ENSMFAG00000043743,ENSMUSG00000026659,ENSRNOG00000003100,ENSCAFG00000013058
DUSP16,ENSG00000111266,ENSMFAG00000037347,ENSMUSG00000030203,ENSRNOG00000006628,ENSCAFG00000013274
DUSP19,ENSG00000162999,ENSMFAG00000034205,ENSMUSG00000027001,ENSRNOG00000008868,ENSCAFG00000014416
DUSP2,ENSG00000158050,ENSMFAG00000044384,ENSMUSG00000027368,ENSRNOG00000013862,ENSCAFG00000023317
DUSP22,ENSG00000112679,ENSMFAG00000034531,ENSMUSG00000069255,ENSRNOG00000056376,ENSCAFG00000030984
DUSP23,ENSG00000158716,ENSMFAG00000043752,ENSMUSG00000026544,ENSRNOG00000022143,ENSCAFG00000031934
DUSP26,ENSG00000133878,ENSMFAG00000041680,ENSMUSG00000039661,ENSRNOG00000011518,ENSCAFG00000029801
DUSP27,ENSG00000198842,ENSMFAG00000005792,ENSMUSG00000026564,ENSRNOG00000003722,ENSCAFG00000015574
DUSP3,ENSG00000108861,ENSMFAG00000039165,ENSMUSG00000003518,ENSRNOG00000036798,ENSCAFG00000028570
DUSP4,ENSG00000120875,ENSMFAG00000003869,ENSMUSG00000031530,ENSRNOG00000011921,ENSCAFG00000030240
DUSP5,ENSG00000138166,ENSMFAG00000002031,ENSMUSG00000034765,ENSRNOG00000014061,ENSCAFG00000030565
DUSP6,ENSG00000139318,ENSMFAG00000038546,ENSMUSG00000019960,ENSRNOG00000023896,ENSCAFG00000006100
DUSP7,ENSG00000164086,ENSMFAG00000041079,ENSMUSG00000053716,ENSRNOG00000010789,ENSCAFG00000032027
DUSP8,ENSG00000184545,ENSMFAG00000002727,ENSMUSG00000037887,ENSRNOG00000029394,ENSCAFG00000010009
DUSP9,ENSG00000130829,ENSMFAG00000046070,ENSMUSG00000031383,ENSRNOG00000055185,ENSCAFG00000019241
DUT,ENSG00000128951,ENSMFAG00000040614,ENSMUSG00000027203,ENSRNOG00000007221,ENSCAFG00000014277
DVL1,ENSG00000107404,ENSMFAG00000035538,ENSMUSG00000029071,ENSRNOG00000019423,ENSCAFG00000019275
DVL2,ENSG00000004975,ENSMFAG00000040838,ENSMUSG00000020888,ENSRNOG00000017915,ENSCAFG00000016066
DVL3,ENSG00000161202,ENSMFAG00000035356,ENSMUSG00000003233,ENSRNOG00000001708,ENSCAFG00000012180
DXO,ENSG00000204348,ENSMFAG00000042173,ENSMUSG00000040482,ENSRNOG00000000422,ENSCAFG00000000694
DYDC2,ENSG00000133665,ENSMFAG00000031434,ENSMUSG00000021791,ENSRNOG00000039591,ENSCAFG00000015857
DYM,ENSG00000141627,ENSMFAG00000031987,ENSMUSG00000035765,ENSRNOG00000018425,ENSCAFG00000019062
DYNC1H1,ENSG00000197102,ENSMFAG00000035908,ENSMUSG00000018707,ENSRNOG00000006178,ENSCAFG00000017986
DYNC1I1,ENSG00000158560,ENSMFAG00000000094,ENSMUSG00000029757,ENSRNOG00000009700,ENSCAFG00000002143
DYNC1I2,ENSG00000077380,ENSMFAG00000046037,ENSMUSG00000027012,ENSRNOG00000009781,ENSCAFG00000012696
DYNC1LI1,ENSG00000144635,ENSMFAG00000031574,ENSMUSG00000032435,ENSRNOG00000010434,ENSCAFG00000005390
DYNC1LI2,ENSG00000135720,ENSMFAG00000045659,ENSMUSG00000035770,ENSRNOG00000025791,ENSCAFG00000020409
DYNC2LI1,ENSG00000138036,ENSMFAG00000043840,ENSMUSG00000024253,ENSRNOG00000005151,ENSCAFG00000002499
DYNLL2,ENSG00000264364,ENSMFAG00000042860,ENSMUSG00000020483,ENSRNOG00000008921,ENSCAFG00000017436
DYNLRB1,ENSG00000125971,ENSMFAG00000033935,ENSMUSG00000047459,ENSRNOG00000025715,ENSCAFG00000007547
DYNLRB2,ENSG00000168589,ENSMFAG00000029001,ENSMUSG00000034467,ENSRNOG00000012450,ENSCAFG00000020024
DYRK1A,ENSG00000157540,ENSMFAG00000035589,ENSMUSG00000022897,ENSRNOG00000001662,ENSCAFG00000009801
DYRK1B,ENSG00000105204,ENSMFAG00000040358,ENSMUSG00000002409,ENSRNOG00000019254,ENSCAFG00000005428
DYRK2,ENSG00000127334,ENSMFAG00000032759,ENSMUSG00000028630,ENSRNOG00000007821,ENSCAFG00000000407
DYRK3,ENSG00000143479,ENSMFAG00000041236,ENSMUSG00000016526,ENSRNOG00000004870,ENSCAFG00000011429
DYSF,ENSG00000135636,ENSMFAG00000032232,ENSMUSG00000033788,ENSRNOG00000032788,ENSCAFG00000009033
DZANK1,ENSG00000089091,ENSMFAG00000041179,ENSMUSG00000037259,ENSRNOG00000007440,ENSCAFG00000005425
DZIP1L,ENSG00000158163,ENSMFAG00000041691,ENSMUSG00000037784,ENSRNOG00000014746,ENSCAFG00000007496
DZIP3,ENSG00000198919,ENSMFAG00000046238,ENSMUSG00000064061,ENSRNOG00000001956,ENSCAFG00000010280
E2F1,ENSG00000101412,ENSMFAG00000042416,ENSMUSG00000027490,ENSRNOG00000016708,ENSCAFG00000007435
E2F2,ENSG00000007968,ENSMFAG00000032163,ENSMUSG00000018983,ENSRNOG00000047741,ENSCAFG00000013273
E2F3,ENSG00000112242,ENSMFAG00000003628,ENSMUSG00000016477,ENSRNOG00000029273,ENSCAFG00000031036
E2F4,ENSG00000205250,ENSMFAG00000033833,ENSMUSG00000014859,ENSRNOG00000015708,ENSCAFG00000020375
E2F6,ENSG00000169016,ENSMFAG00000044687,ENSMUSG00000057469,ENSRNOG00000004449,ENSCAFG00000023799
E2F7,ENSG00000165891,ENSMFAG00000000355,ENSMUSG00000020185,ENSRNOG00000026252,ENSCAFG00000005718
E2F8,ENSG00000129173,ENSMFAG00000046393,ENSMUSG00000046179,ENSRNOG00000022537,ENSCAFG00000009431
E4F1,ENSG00000167967,ENSMFAG00000038250,ENSMUSG00000024137,ENSRNOG00000009224,ENSCAFG00000019388
EAF1,ENSG00000144597,ENSMFAG00000036590,ENSMUSG00000021890,ENSRNOG00000019559,ENSCAFG00000006017
EAF2,ENSG00000145088,ENSMFAG00000046362,ENSMUSG00000022838,ENSRNOG00000002350,ENSCAFG00000011657
EARS2,ENSG00000103356,ENSMFAG00000045825,ENSMUSG00000030871,ENSRNOG00000025353,ENSCAFG00000017673
EBAG9,ENSG00000147654,ENSMFAG00000000766,ENSMUSG00000022339,ENSRNOG00000004220,ENSCAFG00000000738
EBF1,ENSG00000164330,ENSMFAG00000034539,ENSMUSG00000057098,ENSRNOG00000028845,ENSCAFG00000017318
EBF2,ENSG00000221818,ENSMFAG00000036796,ENSMUSG00000022053,ENSRNOG00000011548,ENSCAFG00000008918
EBF3,ENSG00000108001,ENSMFAG00000041034,ENSMUSG00000010476,ENSRNOG00000016102,ENSCAFG00000013267
EBF4,ENSG00000088881,ENSMFAG00000032117,ENSMUSG00000053552,ENSRNOG00000007408,ENSCAFG00000006631
EBI3,ENSG00000105246,ENSMFAG00000038770,ENSMUSG00000003206,ENSRNOG00000050509,ENSCAFG00000019114
EBPL,ENSG00000123179,ENSMFAG00000042629,ENSMUSG00000021928,ENSRNOG00000014659,ENSCAFG00000004337
ECD,ENSG00000122882,ENSMFAG00000039372,ENSMUSG00000021810,ENSRNOG00000042253,ENSCAFG00000014617
ECE1,ENSG00000117298,ENSMFAG00000043294,ENSMUSG00000057530,ENSRNOG00000014241,ENSCAFG00000014920
ECEL1,ENSG00000171551,ENSMFAG00000034405,ENSMUSG00000026247,ENSRNOG00000019447,ENSCAFG00000011211
ECH1,ENSG00000104823,ENSMFAG00000043091,ENSMUSG00000053898,ENSRNOG00000020308,ENSCAFG00000005661
ECHDC1,ENSG00000093144,ENSMFAG00000029749,ENSMUSG00000019883,ENSRNOG00000011622,ENSCAFG00000001069
ECHDC3,ENSG00000134463,ENSMFAG00000041388,ENSMUSG00000039063,ENSRNOG00000048114,ENSCAFG00000004859
ECI1,ENSG00000167969,ENSMFAG00000001454,ENSMUSG00000024132,ENSRNOG00000008843,ENSCAFG00000030058
ECM1,ENSG00000143369,ENSMFAG00000040115,ENSMUSG00000028108,ENSRNOG00000021166,ENSCAFG00000012022
ECSIT,ENSG00000130159,ENSMFAG00000036660,ENSMUSG00000066839,ENSRNOG00000014128,ENSCAFG00000017334
ECT2,ENSG00000114346,ENSMFAG00000041285,ENSMUSG00000027699,ENSRNOG00000024365,ENSCAFG00000015455
EDA,ENSG00000158813,ENSMFAG00000042139,ENSMUSG00000059327,ENSRNOG00000032208,ENSCAFG00000029925
EDAR,ENSG00000135960,ENSMFAG00000042084,ENSMUSG00000003227,ENSRNOG00000028598,ENSCAFG00000001970
EDARADD,ENSG00000186197,ENSMFAG00000038481,ENSMUSG00000095105,ENSRNOG00000002624,ENSCAFG00000011040
EDC3,ENSG00000179151,ENSMFAG00000043074,ENSMUSG00000038957,ENSRNOG00000019579,ENSCAFG00000017935
EDC4,ENSG00000038358,ENSMFAG00000030369,ENSMUSG00000036270,ENSRNOG00000024025,ENSCAFG00000020337
EDEM1,ENSG00000134109,ENSMFAG00000038359,ENSMUSG00000030104,ENSRNOG00000055365,ENSCAFG00000005608
EDEM2,ENSG00000088298,ENSMFAG00000002746,ENSMUSG00000038312,ENSRNOG00000019299,ENSCAFG00000007932
EDEM3,ENSG00000116406,ENSMFAG00000032349,ENSMUSG00000043019,ENSRNOG00000028358,ENSCAFG00000013478
EDF1,ENSG00000107223,ENSMFAG00000003426,ENSMUSG00000015092,ENSRNOG00000016272,ENSCAFG00000019544
EDIL3,ENSG00000164176,ENSMFAG00000039875,ENSMUSG00000034488,ENSRNOG00000033064,ENSCAFG00000008467
EDN1,ENSG00000078401,ENSMFAG00000038328,ENSMUSG00000021367,ENSRNOG00000014361,ENSCAFG00000009794
EDN2,ENSG00000127129,ENSMFAG00000036352,ENSMUSG00000028635,ENSRNOG00000009390,ENSCAFG00000002579
EDN3,ENSG00000124205,ENSMFAG00000039249,ENSMUSG00000027524,ENSRNOG00000007477,ENSCAFG00000012245
EDNRA,ENSG00000151617,ENSMFAG00000033903,ENSMUSG00000031616,ENSRNOG00000012721,ENSCAFG00000007768
EDNRB,ENSG00000136160,ENSMFAG00000001921,ENSMUSG00000022122,ENSRNOG00000010997,ENSCAFG00000005187
EDRF1,ENSG00000107938,ENSMFAG00000003945,ENSMUSG00000039990,ENSRNOG00000017728,ENSCAFG00000012820
EEA1,ENSG00000102189,ENSMFAG00000000038,ENSMUSG00000036499,ENSRNOG00000021681,ENSCAFG00000006163
EED,ENSG00000074266,ENSMFAG00000045418,ENSMUSG00000030619,ENSRNOG00000017509,ENSCAFG00000004471
EEF1D,ENSG00000104529,ENSMFAG00000034313,ENSMUSG00000055762,ENSRNOG00000021638,ENSCAFG00000001317
EEF2,ENSG00000167658,ENSMFAG00000040640,ENSMUSG00000034994,ENSRNOG00000020266,ENSCAFG00000019158
EEF2K,ENSG00000103319,ENSMFAG00000003604,ENSMUSG00000035064,ENSRNOG00000016448,ENSCAFG00000017716
EEFSEC,ENSG00000132394,ENSMFAG00000042128,ENSMUSG00000033216,ENSRNOG00000012954,ENSCAFG00000004135
EEPD1,ENSG00000122547,ENSMFAG00000044089,ENSMUSG00000036611,ENSRNOG00000006931,ENSCAFG00000003227
EFCAB1,ENSG00000034239,ENSMFAG00000044408,ENSMUSG00000068617,ENSRNOG00000050091,ENSCAFG00000006629
EFCAB11,ENSG00000140025,ENSMFAG00000044369,ENSMUSG00000021176,ENSRNOG00000053317,ENSCAFG00000031111
EFCAB12,ENSG00000172771,ENSMFAG00000040136,ENSMUSG00000030321,ENSRNOG00000026176,ENSCAFG00000004871
EFCAB2,ENSG00000203666,ENSMFAG00000039610,ENSMUSG00000026495,ENSRNOG00000042201,ENSCAFG00000029154
EFCAB6,ENSG00000186976,ENSMFAG00000036892,ENSMUSG00000022441,ENSRNOG00000011094,ENSCAFG00000000902
EFCAB7,ENSG00000203965,ENSMFAG00000039892,ENSMUSG00000073791,ENSRNOG00000009782,ENSCAFG00000018702
EFCAB8,ENSG00000215529,ENSMFAG00000006242,ENSMUSG00000029658,ENSRNOG00000000904,ENSCAFG00000031611
EFCC1,ENSG00000114654,ENSMFAG00000046117,ENSMUSG00000068263,ENSRNOG00000009787,ENSCAFG00000004343
EFEMP1,ENSG00000115380,ENSMFAG00000044235,ENSMUSG00000020467,ENSRNOG00000003553,ENSCAFG00000002919
EFEMP2,ENSG00000172638,ENSMFAG00000033077,ENSMUSG00000024909,ENSRNOG00000020587,ENSCAFG00000013195
EFHB,ENSG00000163576,ENSMFAG00000027825,ENSMUSG00000023931,ENSRNOG00000012618,ENSCAFG00000005815
EFHC1,ENSG00000096093,ENSMFAG00000036082,ENSMUSG00000041809,ENSRNOG00000042729,ENSCAFG00000002210
EFHC2,ENSG00000183690,ENSMFAG00000032590,ENSMUSG00000025038,ENSRNOG00000002986,ENSCAFG00000014469
EFHD1,ENSG00000115468,ENSMFAG00000002769,ENSMUSG00000026255,ENSRNOG00000015596,ENSCAFG00000029937
EFHD2,ENSG00000142634,ENSMFAG00000044896,ENSMUSG00000040659,ENSRNOG00000013783,ENSCAFG00000016307
EFNA1,ENSG00000169242,ENSMFAG00000041110,ENSMUSG00000027954,ENSRNOG00000020573,ENSCAFG00000017069
EFNA4,ENSG00000243364,ENSMFAG00000042861,ENSMUSG00000028040,ENSRNOG00000020588,ENSCAFG00000024466
EFNA5,ENSG00000184349,ENSMFAG00000000459,ENSMUSG00000048915,ENSRNOG00000034177,ENSCAFG00000007448
EFNB1,ENSG00000090776,ENSMFAG00000043144,ENSMUSG00000031217,ENSRNOG00000006877,ENSCAFG00000016734
EFNB2,ENSG00000125266,ENSMFAG00000034043,ENSMUSG00000001300,ENSRNOG00000014648,ENSCAFG00000006022
EFNB3,ENSG00000108947,ENSMFAG00000034070,ENSMUSG00000003934,ENSRNOG00000010320,ENSCAFG00000031192
EFR3A,ENSG00000132294,ENSMFAG00000041531,ENSMUSG00000015002,ENSRNOG00000025528,ENSCAFG00000001100
EFR3B,ENSG00000084710,ENSMFAG00000035813,ENSMUSG00000020658,ENSRNOG00000012950,ENSCAFG00000004136
EFS,ENSG00000100842,ENSMFAG00000037287,ENSMUSG00000022203,ENSRNOG00000042029,ENSCAFG00000011605
EFTUD2,ENSG00000108883,ENSMFAG00000042655,ENSMUSG00000020929,ENSRNOG00000002818,ENSCAFG00000014065
EGFL6,ENSG00000198759,ENSMFAG00000041779,ENSMUSG00000000402,ENSRNOG00000004275,ENSCAFG00000011726
EGFL7,ENSG00000172889,ENSMFAG00000043021,ENSMUSG00000026921,ENSRNOG00000019388,ENSCAFG00000019575
EGFLAM,ENSG00000164318,ENSMFAG00000001590,ENSMUSG00000042961,ENSRNOG00000012058,ENSCAFG00000018666
EGFR,ENSG00000146648,ENSMFAG00000034444,ENSMUSG00000020122,ENSRNOG00000004332,ENSCAFG00000003465
EGLN3,ENSG00000129521,ENSMFAG00000036942,ENSMUSG00000035105,ENSRNOG00000005053,ENSCAFG00000013182
EGR1,ENSG00000120738,ENSMFAG00000027911,ENSMUSG00000038418,ENSRNOG00000019422,ENSCAFG00000001254
EGR2,ENSG00000122877,ENSMFAG00000043070,ENSMUSG00000037868,ENSRNOG00000000640,ENSCAFG00000013049
EGR3,ENSG00000179388,ENSMFAG00000038392,ENSMUSG00000033730,ENSRNOG00000017828,ENSCAFG00000009272
EGR4,ENSG00000135625,ENSMFAG00000036862,ENSMUSG00000071341,ENSRNOG00000015719,ENSCAFG00000031530
EHBP1,ENSG00000115504,ENSMFAG00000043351,ENSMUSG00000042302,ENSRNOG00000008917,ENSCAFG00000003106
EHBP1L1,ENSG00000173442,ENSMFAG00000043912,ENSMUSG00000024937,ENSRNOG00000056038,ENSCAFG00000013463
EHD1,ENSG00000110047,ENSMFAG00000032608,ENSMUSG00000024772,ENSRNOG00000043503,ENSCAFG00000014128
EHD2,ENSG00000024422,ENSMFAG00000045476,ENSMUSG00000074364,ENSRNOG00000011346,ENSCAFG00000004095
EHD3,ENSG00000013016,ENSMFAG00000033132,ENSMUSG00000024065,ENSRNOG00000007744,ENSCAFG00000005348
EHD4,ENSG00000103966,ENSMFAG00000042599,ENSMUSG00000027293,ENSRNOG00000007584,ENSCAFG00000009869
EHF,ENSG00000135373,ENSMFAG00000029447,ENSMUSG00000012350,ENSRNOG00000007484,ENSCAFG00000031582
EHHADH,ENSG00000113790,ENSMFAG00000033097,ENSMUSG00000022853,ENSRNOG00000001770,ENSCAFG00000013218
EHMT1,ENSG00000181090,ENSMFAG00000030770,ENSMUSG00000036893,ENSRNOG00000007242,ENSCAFG00000019390
EHMT2,ENSG00000204371,ENSMFAG00000032125,ENSMUSG00000013787,ENSRNOG00000030630,ENSCAFG00000000669
EI24,ENSG00000149547,ENSMFAG00000042989,ENSMUSG00000062762,ENSRNOG00000030391,ENSCAFG00000010898
EID2,ENSG00000176396,ENSMFAG00000037474,ENSMUSG00000046058,ENSRNOG00000019310,ENSCAFG00000005436
EIF1AD,ENSG00000175376,ENSMFAG00000038170,ENSMUSG00000024841,ENSRNOG00000020463,ENSCAFG00000031896
EIF1AX,ENSG00000173674,ENSMFAG00000000439,ENSMUSG00000067194,ENSRNOG00000005736,ENSCAFG00000032071
EIF2A,ENSG00000144895,ENSMFAG00000045972,ENSMUSG00000027810,ENSRNOG00000013393,ENSCAFG00000008407
EIF2AK1,ENSG00000086232,ENSMFAG00000036418,ENSMUSG00000029613,ENSRNOG00000001050,ENSCAFG00000015665
EIF2AK2,ENSG00000055332,ENSMFAG00000030576,ENSMUSG00000024079,ENSRNOG00000048315,ENSCAFG00000006051
EIF2AK3,ENSG00000172071,ENSMFAG00000031720,ENSMUSG00000031668,ENSRNOG00000006069,ENSCAFG00000007383
EIF2AK4,ENSG00000128829,ENSMFAG00000035646,ENSMUSG00000005102,ENSRNOG00000006027,ENSCAFG00000008775
EIF2B1,ENSG00000111361,ENSMFAG00000000483,ENSMUSG00000029388,ENSRNOG00000001039,ENSCAFG00000007434
EIF2B2,ENSG00000119718,ENSMFAG00000043749,ENSMUSG00000004788,ENSRNOG00000006467,ENSCAFG00000016998
EIF2B3,ENSG00000070785,ENSMFAG00000035339,ENSMUSG00000028683,ENSRNOG00000018375,ENSCAFG00000004681
EIF2B4,ENSG00000115211,ENSMFAG00000044359,ENSMUSG00000029145,ENSRNOG00000005301,ENSCAFG00000004888
EIF2B5,ENSG00000145191,ENSMFAG00000045589,ENSMUSG00000003235,ENSRNOG00000038160,ENSCAFG00000012158
EIF2D,ENSG00000143486,ENSMFAG00000033925,ENSMUSG00000026427,ENSRNOG00000004910,ENSCAFG00000010261
EIF2S1,ENSG00000134001,ENSMFAG00000037691,ENSMUSG00000021116,ENSRNOG00000009432,ENSCAFG00000016386
EIF2S3,ENSG00000130741,ENSMFAG00000034274,ENSMUSG00000035150,ENSRNOG00000060793,ENSCAFG00000013425
EIF3A,ENSG00000107581,ENSMFAG00000032082,ENSMUSG00000024991,ENSRNOG00000010117,ENSCAFG00000012057
EIF3B,ENSG00000106263,ENSMFAG00000046100,ENSMUSG00000056076,ENSRNOG00000001253,ENSCAFG00000016418
EIF3D,ENSG00000100353,ENSMFAG00000000481,ENSMUSG00000016554,ENSRNOG00000005804,ENSCAFG00000001544
EIF3F,ENSG00000175390,ENSMFAG00000042607,ENSMUSG00000031029,ENSRNOG00000015221,ENSCAFG00000006884
EIF3G,ENSG00000130811,ENSMFAG00000003465,ENSMUSG00000070319,ENSRNOG00000020619,ENSCAFG00000017908
EIF3I,ENSG00000084623,ENSMFAG00000043566,ENSMUSG00000028798,ENSRNOG00000047185,ENSCAFG00000010674
EIF3K,ENSG00000178982,ENSMFAG00000033962,ENSMUSG00000053565,ENSRNOG00000020495,ENSCAFG00000005866
EIF3L,ENSG00000100129,ENSMFAG00000040574,ENSMUSG00000033047,ENSRNOG00000011020,ENSCAFG00000001443
EIF3M,ENSG00000149100,ENSMFAG00000040767,ENSMUSG00000027170,ENSRNOG00000012738,ENSCAFG00000007368
EIF4A1,ENSG00000161960,ENSMFAG00000039010,ENSMUSG00000059796,ENSRNOG00000030628,ENSCAFG00000016632
EIF4E2,ENSG00000135930,ENSMFAG00000002558,ENSMUSG00000026254,ENSRNOG00000019634,ENSCAFG00000012558
EIF4E3,ENSG00000163412,ENSMFAG00000039909,ENSMUSG00000093661,ENSRNOG00000010301,ENSCAFG00000006445
EIF4EBP1,ENSG00000187840,ENSMFAG00000000356,ENSMUSG00000031490,ENSRNOG00000012582,ENSCAFG00000006154
EIF4EBP2,ENSG00000148730,ENSMFAG00000000143,ENSMUSG00000020091,ENSRNOG00000055391,ENSCAFG00000014050
EIF4ENIF1,ENSG00000184708,ENSMFAG00000037813,ENSMUSG00000020454,ENSRNOG00000018475,ENSCAFG00000013163
EIF4G2,ENSG00000110321,ENSMFAG00000036500,ENSMUSG00000005610,ENSRNOG00000017158,ENSCAFG00000007666
EIF4G3,ENSG00000075151,ENSMFAG00000033446,ENSMUSG00000028760,ENSRNOG00000014368,ENSCAFG00000014975
EIF4H,ENSG00000106682,ENSMFAG00000031975,ENSMUSG00000040731,ENSRNOG00000001454,ENSCAFG00000012019
EIF5A2,ENSG00000163577,ENSMFAG00000032595,ENSMUSG00000050192,ENSRNOG00000011859,ENSCAFG00000029203
ELAC2,ENSG00000006744,ENSMFAG00000041840,ENSMUSG00000020549,ENSRNOG00000003424,ENSCAFG00000017886
ELANE,ENSG00000197561,ENSMFAG00000041592,ENSMUSG00000020125,ENSRNOG00000033685,ENSCAFG00000019669
ELAVL2,ENSG00000107105,ENSMFAG00000039694,ENSMUSG00000008489,ENSRNOG00000006853,ENSCAFG00000001688
ELAVL3,ENSG00000196361,ENSMFAG00000003692,ENSMUSG00000003410,ENSRNOG00000013752,ENSCAFG00000017350
ELAVL4,ENSG00000162374,ENSMFAG00000039866,ENSMUSG00000028546,ENSRNOG00000023601,ENSCAFG00000003927
ELF1,ENSG00000120690,ENSMFAG00000040587,ENSMUSG00000036461,ENSRNOG00000011762,ENSCAFG00000004817
ELF2,ENSG00000109381,ENSMFAG00000042627,ENSMUSG00000037174,ENSRNOG00000010815,ENSCAFG00000003733
ELF3,ENSG00000163435,ENSMFAG00000037333,ENSMUSG00000003051,ENSRNOG00000006330,ENSCAFG00000010602
ELF4,ENSG00000102034,ENSMFAG00000000961,ENSMUSG00000031103,ENSRNOG00000005352,ENSCAFG00000018735
ELF5,ENSG00000135374,ENSMFAG00000046400,ENSMUSG00000027186,ENSRNOG00000058235,ENSCAFG00000006935
ELK3,ENSG00000111145,ENSMFAG00000044277,ENSMUSG00000008398,ENSRNOG00000004367,ENSCAFG00000006454
ELK4,ENSG00000158711,ENSMFAG00000033410,ENSMUSG00000026436,ENSRNOG00000007887,ENSCAFG00000010144
ELL,ENSG00000105656,ENSMFAG00000044774,ENSMUSG00000070002,ENSRNOG00000019824,ENSCAFG00000014770
ELL3,ENSG00000128886,ENSMFAG00000043418,ENSMUSG00000027246,ENSRNOG00000022868,ENSCAFG00000013343
ELMO1,ENSG00000155849,ENSMFAG00000002088,ENSMUSG00000041112,ENSRNOG00000059705,ENSCAFG00000003272
ELMO2,ENSG00000062598,ENSMFAG00000042943,ENSMUSG00000017670,ENSRNOG00000018747,ENSCAFG00000010313
ELMO3,ENSG00000102890,ENSMFAG00000038390,ENSMUSG00000014791,ENSRNOG00000015800,ENSCAFG00000020374
ELMOD1,ENSG00000110675,ENSMFAG00000039699,ENSMUSG00000041986,ENSRNOG00000009054,ENSCAFG00000014676
ELMOD3,ENSG00000115459,ENSMFAG00000032988,ENSMUSG00000056698,ENSRNOG00000038102,ENSCAFG00000007801
ELMSAN1,ENSG00000156030,ENSMFAG00000034140,ENSMUSG00000042507,ENSRNOG00000010653,ENSCAFG00000016864
ELOF1,ENSG00000130165,ENSMFAG00000043998,ENSMUSG00000013822,ENSRNOG00000014284,ENSCAFG00000028831
ELOVL1,ENSG00000066322,ENSMFAG00000042006,ENSMUSG00000006390,ENSRNOG00000028448,ENSCAFG00000005245
ELOVL2,ENSG00000197977,ENSMFAG00000041046,ENSMUSG00000021364,ENSRNOG00000014702,ENSCAFG00000009756
ELOVL3,ENSG00000119915,ENSMFAG00000036362,ENSMUSG00000038754,ENSRNOG00000019124,ENSCAFG00000028623
