HOG	OG	Gene Tree Parent Clade	Canislupusfamiliaris	Homosapiens	Macacafascicularis	Musmusculus	Rattusnorvegicus
N0.HOG0004526	OG0003351	n0	ENSCAFG00000032147.2	ENSG00000164929.17	ENSMFAG00000033705.1	ENSMUSG00000107249.3, ENSMUSG00000022296.9	ENSRNOG00000004697.7
N0.HOG0004527	OG0003352	n0	ENSCAFG00000015982.5, ENSCAFG00000002159.4	ENSG00000143776.18	ENSMFAG00000036131.1	ENSMUSG00000026490.18	ENSRNOG00000002841.7
N0.HOG0004528	OG0003353	n0	ENSCAFG00000013354.4	ENSG00000275544.4, ENSG00000161267.12	ENSMFAG00000039410.1	ENSMUSG00000046598.15	ENSRNOG00000001736.5
N0.HOG0004529	OG0003354	n0	ENSCAFG00000049404.1, ENSCAFG00000003095.4	ENSG00000188529.15	ENSMFAG00000046011.1	ENSMUSG00000028676.17	ENSRNOG00000007992.6
N0.HOG0004530	OG0003355	n0	ENSCAFG00000030417.2	ENSG00000166900.17	ENSMFAG00000033872.1	ENSMUSG00000041488.16	ENSRNOG00000031283.4, ENSRNOG00000021013.7
N0.HOG0004531	OG0003356	n0	ENSCAFG00000004602.4	ENSG00000281883.1, ENSG00000179630.11	ENSMFAG00000032425.1	ENSMUSG00000044350.14	ENSRNOG00000022094.6
N0.HOG0004532	OG0003357	n0	ENSCAFG00000008060.4, ENSCAFG00000005499.3	ENSG00000134077.16	ENSMFAG00000044884.1	ENSMUSG00000030264.14	ENSRNOG00000006941.7
N0.HOG0004533	OG0003358	n0	ENSCAFG00000004788.4, ENSCAFG00000016470.4	ENSG00000115112.8	ENSMFAG00000013698.1	ENSMUSG00000026380.10	ENSRNOG00000002414.8
N0.HOG0004534	OG0003359	n0	ENSCAFG00000031522.2	ENSG00000076984.18	ENSMFAG00000031756.1	ENSMUSG00000002948.19, ENSMUSG00000109061.1	ENSRNOG00000001047.6
N0.HOG0004535	OG0003360	n0	ENSCAFG00000023207.4	ENSG00000146457.16	ENSMFAG00000036136.1, ENSMFAG00000035453.1	ENSMUSG00000060475.13	ENSRNOG00000019091.7
N0.HOG0004536	OG0003361	n0	ENSCAFG00000010447.5	ENSG00000172139.15, ENSG00000285044.2	ENSMFAG00000037571.1	ENSMUSG00000033210.16	ENSRNOG00000022007.7
N0.HOG0004537	OG0003362	n0	ENSCAFG00000029477.2, ENSCAFG00000049889.1	ENSG00000265354.4	ENSMFAG00000036559.1	ENSMUSG00000013701.13	ENSRNOG00000019811.5
N0.HOG0004538	OG0003363	n0	ENSCAFG00000011549.3	ENSG00000170522.10	ENSMFAG00000035981.1	ENSMUSG00000041220.10	ENSRNOG00000048949.1, ENSRNOG00000010468.5
N0.HOG0004539	OG0003364	n0	ENSCAFG00000005386.4	ENSG00000149257.16	ENSMFAG00000043814.1, ENSMFAG00000000898.1	ENSMUSG00000070436.12	ENSRNOG00000016831.6
N0.HOG0004540	OG0003365	n0	ENSCAFG00000024741.3	ENSG00000167333.13	ENSMFAG00000002958.1, ENSMFAG00000037511.1	ENSMUSG00000073968.4	ENSRNOG00000047229.3
N0.HOG0004541	OG0003366	n0	ENSCAFG00000023827.3	ENSG00000244752.3	ENSMFAG00000032777.1, ENSMFAG00000032716.1	ENSMUSG00000042240.14	ENSRNOG00000050023.1
N0.HOG0004542	OG0003367	n0	ENSCAFG00000011268.4	ENSG00000162885.14, ENSG00000282880.3	ENSMFAG00000001068.1	ENSMUSG00000039242.10	ENSRNOG00000016855.6
N0.HOG0004543	OG0003368	n0	ENSCAFG00000003196.5, ENSCAFG00000003103.4	ENSG00000025039.15	ENSMFAG00000038149.1	ENSMUSG00000028278.14	ENSRNOG00000007331.6
N0.HOG0004544	OG0003369	n0	ENSCAFG00000030826.2	ENSG00000174500.13, ENSG00000284925.2	ENSMFAG00000031391.1	ENSMUSG00000022659.13	ENSRNOG00000022110.7
N0.HOG0004545	OG0003370	n0	ENSCAFG00000013859.5	ENSG00000092208.17	ENSMFAG00000003283.1, ENSMFAG00000014362.1	ENSMUSG00000060121.15	ENSRNOG00000004360.7
N0.HOG0004546	OG0003371	n0	ENSCAFG00000000649.4	ENSG00000155097.12	ENSMFAG00000045088.1	ENSMUSG00000116394.1, ENSMUSG00000022295.8	ENSRNOG00000004846.5
N0.HOG0004547	OG0003372	n0	ENSCAFG00000009750.4	ENSG00000288478.1, ENSG00000170113.16	ENSMFAG00000001691.1	ENSMUSG00000047037.5	ENSRNOG00000042702.2
N0.HOG0004548	OG0003373	n0	ENSCAFG00000025252.3	ENSG00000166391.15	ENSMFAG00000032272.1	ENSMUSG00000052396.7	ENSRNOG00000029211.4, ENSRNOG00000027228.2
N0.HOG0004549	OG0003374	n0	ENSCAFG00000011532.5	ENSG00000138798.13	ENSMFAG00000003730.1	ENSMUSG00000028017.7	ENSRNOG00000053979.1, ENSRNOG00000051964.2
N0.HOG0004550	OG0003375	n0	ENSCAFG00000010245.4	ENSG00000169519.21	ENSMFAG00000043868.1, ENSMFAG00000044221.1	ENSMUSG00000057234.9	ENSRNOG00000004926.7
N0.HOG0004551	OG0003376	n0	ENSCAFG00000030347.2	ENSG00000114529.13, ENSG00000285394.2	ENSMFAG00000037777.1	ENSMUSG00000033187.8	ENSRNOG00000022136.7
N0.HOG0004552	OG0003377	n0	ENSCAFG00000008295.4	ENSG00000154640.15, ENSG00000281484.2	ENSMFAG00000002010.1	ENSMUSG00000022863.15	ENSRNOG00000001555.5
N0.HOG0004553	OG0003378	n0	ENSCAFG00000018193.4	ENSG00000270885.2	ENSMFAG00000034525.1	ENSMUSG00000020684.14	ENSRNOG00000055765.1, ENSRNOG00000010302.8
N0.HOG0004554	OG0003379	n0	ENSCAFG00000007067.5	ENSG00000139496.16	ENSMFAG00000042591.1	ENSMUSG00000114797.1, ENSMUSG00000063895.7	ENSRNOG00000012644.8
N0.HOG0004555	OG0003380	n0	ENSCAFG00000006846.4, ENSCAFG00000006817.3			ENSMUSG00000049280.4, ENSMUSG00000043855.7	ENSRNOG00000021727.4, ENSRNOG00000030215.1
N0.HOG0004556	OG0003381	n0	ENSCAFG00000009173.4	ENSG00000112685.14	ENSMFAG00000045215.1	ENSMUSG00000021357.14	ENSRNOG00000045721.3, ENSRNOG00000060266.1
N0.HOG0004557	OG0003382	n0	ENSCAFG00000008740.4	ENSG00000005194.15	ENSMFAG00000000222.1, ENSMFAG00000002168.1	ENSMUSG00000031781.14	ENSRNOG00000016234.5
N0.HOG0004558	OG0003383	n0	ENSCAFG00000005465.4	ENSG00000134874.18	ENSMFAG00000030556.1	ENSMUSG00000042156.16	ENSRNOG00000046611.1, ENSRNOG00000010311.9
N0.HOG0004559	OG0003384	n0	ENSCAFG00000019635.4, ENSCAFG00000003628.4	ENSG00000182712.16	ENSMFAG00000045993.1	ENSMUSG00000090110.8	ENSRNOG00000056435.1
N0.HOG0004560	OG0003385	n0	ENSCAFG00000030834.1	ENSG00000284255.1, ENSG00000221954.2		ENSMUSG00000045148.5, ENSMUSG00000068806.5	ENSRNOG00000006706.3
N0.HOG0004561	OG0003386	n0	ENSCAFG00000009156.4, ENSCAFG00000007099.4	ENSG00000137265.15	ENSMFAG00000045100.1	ENSMUSG00000021356.10	ENSRNOG00000061070.1
N0.HOG0004562	OG0003387	n0	ENSCAFG00000031550.2	ENSG00000168303.9	ENSMFAG00000045608.1	ENSMUSG00000012429.9, ENSMUSG00000094649.1	ENSRNOG00000013806.6
N0.HOG0004563	OG0003388	n0	ENSCAFG00000017969.3, ENSCAFG00000020392.4	ENSG00000137955.16	ENSMFAG00000002761.1	ENSMUSG00000038975.14	ENSRNOG00000009992.6
N0.HOG0004564	OG0003389	n0	ENSCAFG00000031944.2	ENSG00000197465.14, ENSG00000250361.9, ENSG00000170180.22	ENSMFAG00000003962.1	ENSMUSG00000051839.7	
N0.HOG0004565	OG0003390	n0	ENSCAFG00000004696.4	ENSG00000152455.16	ENSMFAG00000025293.1, ENSMFAG00000031495.1	ENSMUSG00000026646.16	ENSRNOG00000015585.6
N0.HOG0004566	OG0003391	n0	ENSCAFG00000004648.6	ENSG00000170275.15	ENSMFAG00000017424.1	ENSMUSG00000032431.6	ENSRNOG00000009878.7, ENSRNOG00000048343.2
N0.HOG0004567	OG0003392	n0	ENSCAFG00000018411.4	ENSG00000186416.17	ENSMFAG00000031196.1	ENSMUSG00000044149.7	ENSRNOG00000052347.1, ENSRNOG00000061989.1
N0.HOG0004568	OG0003393	n0	ENSCAFG00000023407.3	ENSG00000277150.2, ENSG00000277203.1, ENSG00000274791.1		ENSMUSG00000078317.6	ENSRNOG00000037327.2
N0.HOG0004569	OG0003394	n0	ENSCAFG00000014777.4	ENSG00000167771.6	ENSMFAG00000039149.1	ENSMUSG00000024968.14	ENSRNOG00000021183.7, ENSRNOG00000060849.1
N0.HOG0004570	OG0003395	n0	ENSCAFG00000015635.4, ENSCAFG00000029974.2	ENSG00000106305.10	ENSMFAG00000045123.1	ENSMUSG00000029610.13	ENSRNOG00000001044.7
N0.HOG0004571	OG0003396	n0	ENSCAFG00000011503.4	ENSG00000109534.17	ENSMFAG00000024592.1, ENSMFAG00000003572.1	ENSMUSG00000028010.16	ENSRNOG00000061146.2
N0.HOG0004572	OG0003397	n0	ENSCAFG00000012125.5	ENSG00000254995.4, ENSG00000124222.22	ENSMFAG00000034376.1	ENSMUSG00000027522.15	ENSRNOG00000005281.6
N0.HOG0004573	OG0003398	n0	ENSCAFG00000012155.4	ENSG00000123684.13	ENSMFAG00000001051.1	ENSMUSG00000026623.16	ENSRNOG00000003883.5, ENSRNOG00000004402.6
N0.HOG0004574	OG0003399	n0	ENSCAFG00000001905.4, ENSCAFG00000002375.4	ENSG00000165006.14	ENSMFAG00000032310.1	ENSMUSG00000028437.14	ENSRNOG00000012004.6
N0.HOG0004575	OG0003400	n0	ENSCAFG00000047416.1, ENSCAFG00000049798.1	ENSG00000221996.6		ENSMUSG00000073978.8, ENSMUSG00000073979.2	ENSRNOG00000012071.3
N0.HOG0004576	OG0003401	n0	ENSCAFG00000023218.3		ENSMFAG00000044661.1, ENSMFAG00000022270.1, ENSMFAG00000020465.1, ENSMFAG00000030712.1, ENSMFAG00000013152.1		
N0.HOG0004577	OG0003402	n0	ENSCAFG00000011083.4, ENSCAFG00000006007.4	ENSG00000110717.13	ENSMFAG00000035405.1	ENSMUSG00000059734.7	ENSRNOG00000017446.5
N0.HOG0004578	OG0003403	n0	ENSCAFG00000012136.4	ENSG00000117650.13	ENSMFAG00000041966.1	ENSMUSG00000026622.15, ENSMUSG00000110797.1	ENSRNOG00000004487.6
N0.HOG0004579	OG0003404	n0	ENSCAFG00000008731.4	ENSG00000088682.14	ENSMFAG00000014434.1, ENSMFAG00000045196.1	ENSMUSG00000031782.15	ENSRNOG00000016190.6
N0.HOG0004580	OG0003405	n0	ENSCAFG00000013533.5	ENSG00000113838.13	ENSMFAG00000041686.1, ENSMFAG00000034221.1	ENSMUSG00000004462.7	ENSRNOG00000026458.5
N0.HOG0004581	OG0003406	n0	ENSCAFG00000042074.1, ENSCAFG00000030475.2	ENSG00000124357.13	ENSMFAG00000043524.1	ENSMUSG00000034744.13	ENSRNOG00000013911.6
N0.HOG0004582	OG0003407	n0	ENSCAFG00000018390.4	ENSG00000018610.15	ENSMFAG00000040242.1, ENSMFAG00000045522.1	ENSMUSG00000006423.15	ENSRNOG00000012564.6
N0.HOG0004583	OG0003408	n0	ENSCAFG00000018190.4	ENSG00000270765.6	ENSMFAG00000046155.1	ENSMUSG00000020686.12	ENSRNOG00000047546.2, ENSRNOG00000054763.1
N0.HOG0004584	OG0003409	n0	ENSCAFG00000031999.2	ENSG00000170385.10	ENSMFAG00000039946.1	ENSMUSG00000110850.1, ENSMUSG00000037434.7	ENSRNOG00000004749.4
N0.HOG0004585	OG0003410	n0	ENSCAFG00000000665.6	ENSG00000164691.18	ENSMFAG00000032965.1	ENSMUSG00000052031.8, ENSMUSG00000033450.8	ENSRNOG00000018915.7
N0.HOG0004586	OG0003411	n0	ENSCAFG00000030447.2, ENSCAFG00000018892.4	ENSG00000154832.15	ENSMFAG00000040503.1	ENSMUSG00000024560.7	ENSRNOG00000014614.6
N0.HOG0004587	OG0003412	n0	ENSCAFG00000002115.4	ENSG00000107018.8, ENSG00000107014.9	ENSMFAG00000044158.1	ENSMUSG00000039097.5	ENSRNOG00000060867.1
N0.HOG0004588	OG0003413	n0	ENSCAFG00000006002.2			ENSMUSG00000044814.6, ENSMUSG00000043925.7, ENSMUSG00000044824.8	ENSRNOG00000030042.2, ENSRNOG00000018541.3
N0.HOG0004589	OG0003414	n0	ENSCAFG00000030335.3	ENSG00000170542.6	ENSMFAG00000042251.1		ENSRNOG00000022139.4, ENSRNOG00000033772.5, ENSRNOG00000048576.2
N0.HOG0004590	OG0003415	n0	ENSCAFG00000016180.4	ENSG00000109787.13	ENSMFAG00000040858.1, ENSMFAG00000002450.1	ENSMUSG00000029178.14	ENSRNOG00000002163.6
N0.HOG0004591	OG0003416	n0	ENSCAFG00000028996.2	ENSG00000198570.6	ENSMFAG00000037998.1	ENSMUSG00000111723.1, ENSMUSG00000049353.17	ENSRNOG00000050766.2
N0.HOG0004592	OG0003417	n0	ENSCAFG00000007875.4	ENSG00000034510.6	ENSMFAG00000041894.1	ENSMUSG00000091955.2	ENSRNOG00000042499.1, ENSRNOG00000036921.2
N0.HOG0004593	OG0003418	n0	ENSCAFG00000016631.6	ENSG00000277399.5, ENSG00000276469.1	ENSMFAG00000002774.1	ENSMUSG00000070337.4	ENSRNOG00000029245.5
N0.HOG0004594	OG0003419	n0	ENSCAFG00000048009.1	ENSG00000270806.2	ENSMFAG00000036804.1	ENSMUSG00000035085.5	ENSRNOG00000049757.2, ENSRNOG00000052541.1
N0.HOG0004595	OG0003420	n0	ENSCAFG00000016364.5	ENSG00000162494.6	ENSMFAG00000035413.1	ENSMUSG00000097351.2, ENSMUSG00000028584.3	ENSRNOG00000015264.7
N0.HOG0004596	OG0003421	n0	ENSCAFG00000029509.2	ENSG00000269711.1, ENSG00000183019.7	ENSMFAG00000035681.1	ENSMUSG00000013974.3	ENSRNOG00000028259.5
N0.HOG0004597	OG0003422	n0	ENSCAFG00000028739.2	ENSG00000144827.9	ENSMFAG00000038045.1	ENSMUSG00000033157.17	ENSRNOG00000054334.1, ENSRNOG00000043107.3
N0.HOG0004598	OG0003423	n0	ENSCAFG00000000664.4	ENSG00000130363.12	ENSMFAG00000041726.1	ENSMUSG00000073471.3, ENSMUSG00000023806.10	ENSRNOG00000018762.8
N0.HOG0004599	OG0003424	n0	ENSCAFG00000013279.4, ENSCAFG00000014729.4	ENSG00000167770.11	ENSMFAG00000033654.1	ENSMUSG00000024767.11	ENSRNOG00000021175.5
N0.HOG0004600	OG0003425	n0	ENSCAFG00000004307.4	ENSG00000285516.2, ENSG00000077616.11	ENSMFAG00000034412.1	ENSMUSG00000043943.14	ENSRNOG00000005955.6
N0.HOG0004601	OG0003426	n0	ENSCAFG00000011714.4, ENSCAFG00000047169.1	ENSG00000136631.15	ENSMFAG00000032727.1	ENSMUSG00000015747.5	ENSRNOG00000021173.5
N0.HOG0004602	OG0003427	n0	ENSCAFG00000007809.4	ENSG00000042445.14	ENSMFAG00000001631.1, ENSMFAG00000035638.1	ENSMUSG00000056666.13	ENSRNOG00000014090.3
N0.HOG0004603	OG0003428	n0	ENSCAFG00000030897.2	ENSG00000183155.5	ENSMFAG00000037667.1	ENSMUSG00000042229.9	ENSRNOG00000004424.6, ENSRNOG00000045814.2
N0.HOG0004604	OG0003429	n0	ENSCAFG00000044934.1, ENSCAFG00000001567.4	ENSG00000107295.10	ENSMFAG00000043791.1	ENSMUSG00000028488.15	ENSRNOG00000006761.7
N0.HOG0004605	OG0003430	n0	ENSCAFG00000000168.4	ENSG00000082212.13	ENSMFAG00000037494.1, ENSMFAG00000004061.1	ENSMUSG00000024556.4	ENSRNOG00000015582.6
N0.HOG0004606	OG0003431	n0	ENSCAFG00000017798.3	ENSG00000123562.18	ENSMFAG00000043729.1, ENSMFAG00000044438.1	ENSMUSG00000031422.16	ENSRNOG00000002389.5
N0.HOG0004607	OG0003432	n0	ENSCAFG00000013907.6	ENSG00000128564.7	ENSMFAG00000040047.1	ENSMUSG00000037428.14	ENSRNOG00000053620.1, ENSRNOG00000001416.5
N0.HOG0004608	OG0003433	n0	ENSCAFG00000005417.4	ENSG00000120925.16	ENSMFAG00000031570.1	ENSMUSG00000109850.1, ENSMUSG00000013878.18	ENSRNOG00000045943.3
N0.HOG0004609	OG0003434	n0	ENSCAFG00000029177.2	ENSG00000120837.8	ENSMFAG00000040748.1, ENSMFAG00000037272.1	ENSMUSG00000020248.18	ENSRNOG00000010309.6
N0.HOG0004610	OG0003435	n0	ENSCAFG00000017942.4	ENSG00000166974.13	ENSMFAG00000000599.1	ENSMUSG00000024277.14	ENSRNOG00000047261.3, ENSRNOG00000049681.2
N0.HOG0004611	OG0003436	n0	ENSCAFG00000028890.2	ENSG00000136866.14	ENSMFAG00000000885.1	ENSMUSG00000028389.12	ENSRNOG00000046629.3, ENSRNOG00000051078.1
N0.HOG0004612	OG0003437	n0	ENSCAFG00000029846.2	ENSG00000179387.10	ENSMFAG00000046408.1	ENSMUSG00000035151.12	ENSRNOG00000011225.6, ENSRNOG00000028176.3
N0.HOG0004613	OG0003438	n0	ENSCAFG00000012120.5	ENSG00000082512.15	ENSMFAG00000040124.1	ENSMUSG00000111385.1, ENSMUSG00000026637.13	ENSRNOG00000047957.2
N0.HOG0004614	OG0003439	n0	ENSCAFG00000003684.4	ENSG00000109424.4	ENSMFAG00000043786.1	ENSMUSG00000031710.4	ENSRNOG00000003580.4, ENSRNOG00000046239.1
N0.HOG0004615	OG0003440	n0	ENSCAFG00000016363.5	ENSG00000162493.16	ENSMFAG00000001482.1	ENSMUSG00000096951.7, ENSMUSG00000028583.14	ENSRNOG00000014961.5
N0.HOG0004616	OG0003441	n0	ENSCAFG00000009423.4	ENSG00000156172.6	ENSMFAG00000044442.1	ENSMUSG00000059482.15	ENSRNOG00000049287.2, ENSRNOG00000026672.4
N0.HOG0004617	OG0003442	n0	ENSCAFG00000007040.4	ENSG00000144029.12	ENSMFAG00000002850.1, ENSMFAG00000043526.1	ENSMUSG00000027374.12	ENSRNOG00000015192.6
N0.HOG0004618	OG0003443	n0	ENSCAFG00000018372.3, ENSCAFG00000008954.3	ENSG00000101856.10	ENSMFAG00000043849.1	ENSMUSG00000006373.10	ENSRNOG00000012786.7
N0.HOG0004619	OG0003444	n0	ENSCAFG00000015560.5	ENSG00000197584.12, ENSG00000275163.1	ENSMFAG00000037847.1	ENSMUSG00000037610.15	ENSRNOG00000010094.6
N0.HOG0004620	OG0003445	n0	ENSCAFG00000009863.4	ENSG00000276802.2, ENSG00000128731.18	ENSMFAG00000041087.1	ENSMUSG00000030451.16	ENSRNOG00000013718.7
N0.HOG0004621	OG0003446	n0	ENSCAFG00000002057.4	ENSG00000282278.1, ENSG00000134853.12	ENSMFAG00000046187.1	ENSMUSG00000029231.15	ENSRNOG00000002244.5
N0.HOG0004622	OG0003447	n0	ENSCAFG00000004180.4	ENSG00000142230.13	ENSMFAG00000038016.1, ENSMFAG00000046126.1	ENSMUSG00000052833.9	ENSRNOG00000015128.6
N0.HOG0004623	OG0003448	n0	ENSCAFG00000017983.4	ENSG00000138621.12	ENSMFAG00000000526.1	ENSMUSG00000063849.6	ENSRNOG00000018711.6, ENSRNOG00000053404.1
N0.HOG0004624	OG0003449	n0	ENSCAFG00000016161.4	ENSG00000197712.12	ENSMFAG00000001528.1	ENSMUSG00000029185.14	ENSRNOG00000026504.5, ENSRNOG00000002110.5
N0.HOG0004625	OG0003450	n0	ENSCAFG00000025404.3, ENSCAFG00000012443.4	ENSG00000092009.10	ENSMFAG00000002723.1	ENSMUSG00000022225.7	ENSRNOG00000020563.6
N0.HOG0004626	OG0003451	n0	ENSCAFG00000048715.1, ENSCAFG00000048942.1, ENSCAFG00000048958.1, ENSCAFG00000044063.1, ENSCAFG00000049962.1, ENSCAFG00000046216.1				
N0.HOG0004627	OG0003452	n0	ENSCAFG00000019805.6	ENSG00000198758.11	ENSMFAG00000041246.1	ENSMUSG00000040600.9	ENSRNOG00000048209.1, ENSRNOG00000058242.1
N0.HOG0004628	OG0003453	n0	ENSCAFG00000004329.5	ENSG00000077420.16	ENSMFAG00000044592.1, ENSMFAG00000037596.1	ENSMUSG00000026786.14	ENSRNOG00000017803.7
N0.HOG0004629	OG0003454	n0	ENSCAFG00000008215.5	ENSG00000155313.15	ENSMFAG00000039436.1	ENSMUSG00000022867.11	ENSRNOG00000001573.7, ENSRNOG00000050713.2
N0.HOG0004630	OG0003455	n0	ENSCAFG00000024882.4	ENSG00000145949.11	ENSMFAG00000002410.1	ENSMUSG00000044951.17	ENSRNOG00000050349.2, ENSRNOG00000049124.2
N0.HOG0004631	OG0003456	n0	ENSCAFG00000015652.3	ENSG00000187682.2	ENSMFAG00000018924.1	ENSMUSG00000031160.4	ENSRNOG00000042470.1, ENSRNOG00000048396.1
N0.HOG0004632	OG0003457	n0	ENSCAFG00000012931.4	ENSG00000075043.18, ENSG00000281151.2	ENSMFAG00000042590.1	ENSMUSG00000016346.17	ENSRNOG00000011624.7
N0.HOG0004633	OG0003458	n0	ENSCAFG00000012107.4	ENSG00000117625.14	ENSMFAG00000000464.1	ENSMUSG00000037395.15, ENSMUSG00000111452.1	ENSRNOG00000046445.2
N0.HOG0004634	OG0003459	n0	ENSCAFG00000013292.4	ENSG00000172922.11	ENSMFAG00000042754.1, ENSMFAG00000038096.1	ENSMUSG00000024925.11	ENSRNOG00000020700.6
N0.HOG0004635	OG0003460	n0	ENSCAFG00000011498.5, ENSCAFG00000049332.1	ENSG00000167037.18	ENSMFAG00000020092.1	ENSMUSG00000042216.13	ENSRNOG00000000708.7
N0.HOG0004636	OG0003461	n0	ENSCAFG00000005274.3	ENSG00000137492.8	ENSMFAG00000033682.1, ENSMFAG00000028919.1	ENSMUSG00000030753.15	ENSRNOG00000053923.1
N0.HOG0004637	OG0003462	n0	ENSCAFG00000011510.4	ENSG00000140543.15, ENSG00000173867.10	ENSMFAG00000043815.1	ENSMUSG00000030610.13	ENSRNOG00000018515.6
N0.HOG0004638	OG0003463	n0	ENSCAFG00000007224.6	ENSG00000148680.16	ENSMFAG00000001114.1	ENSMUSG00000024798.15	ENSRNOG00000018827.9, ENSRNOG00000055705.1
N0.HOG0004639	OG0003464	n0	ENSCAFG00000003477.4	ENSG00000143870.13	ENSMFAG00000037618.1	ENSMUSG00000020571.13	ENSRNOG00000058543.1, ENSRNOG00000050197.2
N0.HOG0004640	OG0003465	n0	ENSCAFG00000029711.2, ENSCAFG00000030667.2	ENSG00000275111.5	ENSMFAG00000039940.1	ENSMUSG00000034800.15	ENSRNOG00000015188.4
N0.HOG0004641	OG0003466	n0	ENSCAFG00000009364.4	ENSG00000114354.15	ENSMFAG00000045565.1, ENSMFAG00000043877.1	ENSMUSG00000022757.19	ENSRNOG00000001633.7
N0.HOG0004642	OG0003467	n0	ENSCAFG00000010458.5	ENSG00000162105.19	ENSMFAG00000031467.1	ENSMUSG00000037541.22	ENSRNOG00000047651.2, ENSRNOG00000050206.4
N0.HOG0004643	OG0003468	n0	ENSCAFG00000031810.2, ENSCAFG00000005278.2	ENSG00000107341.5	ENSMFAG00000032942.1	ENSMUSG00000036241.3	ENSRNOG00000010727.7
N0.HOG0004644	OG0003469	n0	ENSCAFG00000041951.1	ENSG00000189337.17	ENSMFAG00000033310.1	ENSMUSG00000040606.13, ENSMUSG00000115905.1	ENSRNOG00000014322.7
N0.HOG0004645	OG0003470	n0	ENSCAFG00000016629.4	ENSG00000274229.2, ENSG00000274211.6	ENSMFAG00000044702.1	ENSMUSG00000038485.6	ENSRNOG00000059008.1
N0.HOG0004646	OG0003471	n0	ENSCAFG00000005445.5	ENSG00000105197.11	ENSMFAG00000044967.1, ENSMFAG00000032482.1	ENSMUSG00000003438.17	ENSRNOG00000037638.4
N0.HOG0004647	OG0003472	n0	ENSCAFG00000030690.2	ENSG00000177494.6, ENSG00000132846.6	ENSMFAG00000029320.1	ENSMUSG00000041995.8	ENSRNOG00000028941.3
N0.HOG0004648	OG0003473	n0	ENSCAFG00000018439.5	ENSG00000213949.10	ENSMFAG00000034671.1	ENSMUSG00000114470.1, ENSMUSG00000042284.10	ENSRNOG00000053550.1
N0.HOG0004649	OG0003474	n0	ENSCAFG00000049900.1, ENSCAFG00000030831.2	ENSG00000242715.8	ENSMFAG00000032877.1	ENSMUSG00000048655.17	ENSRNOG00000038095.3
N0.HOG0004650	OG0003475	n0	ENSCAFG00000014672.4	ENSG00000168439.17	ENSMFAG00000045746.1, ENSMFAG00000036821.1	ENSMUSG00000024966.9	ENSRNOG00000021164.7
N0.HOG0004651	OG0003476	n0	ENSCAFG00000015620.4	ENSG00000094631.21	ENSMFAG00000044074.1	ENSMUSG00000031161.15	ENSRNOG00000047281.1, ENSRNOG00000048738.2
N0.HOG0004652	OG0003477	n0	ENSCAFG00000016627.5	ENSG00000273780.2, ENSG00000275832.5	ENSMFAG00000040569.1	ENSMUSG00000049807.16	ENSRNOG00000022771.6
N0.HOG0004653	OG0003478	n0	ENSCAFG00000016331.4	ENSG00000171729.14	ENSMFAG00000031613.1	ENSMUSG00000116465.1, ENSMUSG00000040616.3	ENSRNOG00000014197.6
N0.HOG0004654	OG0003479	n0	ENSCAFG00000015572.4	ENSG00000102145.15	ENSMFAG00000031953.1	ENSMUSG00000031162.14	ENSRNOG00000047663.2, ENSRNOG00000025534.4
N0.HOG0004655	OG0003480	n0	ENSCAFG00000018888.4	ENSG00000108256.9	ENSMFAG00000040845.1	ENSMUSG00000037857.16	ENSRNOG00000008382.7, ENSRNOG00000024964.7
N0.HOG0004656	OG0003481	n0	ENSCAFG00000005305.5	ENSG00000250151.9, ENSG00000214021.16	ENSMFAG00000033928.1	ENSMUSG00000030276.19	ENSRNOG00000009032.7
N0.HOG0004657	OG0003482	n0	ENSCAFG00000020182.4	ENSG00000097046.13	ENSMFAG00000000474.1, ENSMFAG00000033052.1	ENSMUSG00000029283.17	ENSRNOG00000002105.6
N0.HOG0004658	OG0003483	n0	ENSCAFG00000013420.4, ENSCAFG00000008751.3	ENSG00000244405.8	ENSMFAG00000002368.1	ENSMUSG00000013089.15	ENSRNOG00000001785.5
N0.HOG0004659	OG0003484	n0	ENSCAFG00000012038.4	ENSG00000280680.3, ENSG00000054392.13	ENSMFAG00000003760.1	ENSMUSG00000037375.16	ENSRNOG00000003925.8
N0.HOG0004660	OG0003485	n0	ENSCAFG00000010353.4	ENSG00000182170.3	ENSMFAG00000035431.1	ENSMUSG00000050276.7	ENSRNOG00000061525.1, ENSRNOG00000054026.1
N0.HOG0004661	OG0003486	n0	ENSCAFG00000001820.4, ENSCAFG00000049104.1	ENSG00000155621.15	ENSMFAG00000000507.1	ENSMUSG00000035171.9	ENSRNOG00000027161.4
N0.HOG0004662	OG0003487	n0	ENSCAFG00000017884.4	ENSG00000153391.16	ENSMFAG00000001478.1, ENSMFAG00000016439.1	ENSMUSG00000047989.11	ENSRNOG00000016532.6
N0.HOG0004663	OG0003488	n0	ENSCAFG00000031193.2	ENSG00000281230.3, ENSG00000082497.12	ENSMFAG00000038535.1	ENSMUSG00000016262.14	ENSRNOG00000060773.1
N0.HOG0004664	OG0003489	n0	ENSCAFG00000030496.3	ENSG00000142621.19	ENSMFAG00000030840.1	ENSMUSG00000116181.1, ENSMUSG00000051435.11	ENSRNOG00000028064.6
N0.HOG0004665	OG0003490	n0	ENSCAFG00000017973.4	ENSG00000178802.18	ENSMFAG00000043448.1, ENSMFAG00000040827.1	ENSMUSG00000032306.14	ENSRNOG00000018898.5
